Title,Original,Generated
Turbulence 2: Fear of Flying,They took the wrong flight to cure their fear.,It's not what you think it is.
The Best of Times,"A comedy about life, hope, and getting even.",Winning is easy.
Home Fries,A long shot romance in a short order world.,It's not what you think it is.
Born to Be Wild,What do you do when your best friend's a 400-pound gorilla? Anything she likes.,It's not just a movie.
Brother Bear,Nature Calls,Welcome To The Jungle
Bandits,"Two's company, three's a crime.",They're going to get away with it.
The Solid Gold Cadillac,Anything can happen to the girl in...,What do you get for your money?
The Betrayed,What she doesn't know could kill her.,It's not about the money.
Dear John,Love brought them together. Will fate tear them apart?,A love story that will change your life forever.
Extortion,How much is your family worth?,It's not just a vacation.
Burn,One Year on the Front Lines of the Battle to Save Detroit,The story of one man's struggle to save the city of Detroit.
Tess,As timely today as the day it was written.,"A story of love, betrayal and revenge."
Melinda and Melinda,"Life can be a comedy or a tragedy, it all depends on how you look at it.","A comedy about love, loss and forgiveness."
The Harder They Come,With a Piece in His Hand He Takes on the Man!,It's not about the money.
The High Sun,Three decades. Two nations. One love.,The story of a love story
Lamb,Innocence walks a fine line.,David Lamb is back.
Wedding Daze,Marrying a complete stranger is a life sentence.,Love is the most powerful force in the universe.
Teen Lust,Get laid or die trying.,You can't lose your virginity in front of the devil.
Cop and ½,One kid's fantasy. One cop's nightmare.,It's not just a cop.
Wicked,Evil never looked so good.,It's not what you think it is.
The General's Daughter,Go behind the lies.,The truth will never be the same.
Lake Bodom,No happy campers here...,The truth is stranger than fiction.
Fight Club: Members Only,This winter... party in a club... that is more than drinks and dance...,Four Friends.
Cub,Be prepared.,It's not what you think.
Focus,Everything Is About To Become Very Clear,The story of a Jewish family who risked their lives to find a safe place to live.
You're Never Too Young,"Dino's the singing dean of a girl's school, Jerry - a wolf in kid's clothing - in a class by himself with 503 coeds.",It's not what you think.
Fat Girl,"A new provocation from the director of ""Romance""",Love is the most dangerous thing in the world.
Boone: The Bounty Hunter,You can run but you can't hide,It's not just about the money.
Fifty Shades of Black,Way shadier than gray.,It's not about sex.
Fire at Sea,"More than 17,000 people were reported to have died trying to cross the Mediterranean in the last 15 years...",The story of a man who risked everything to save his country.
Arcade,The Game Wants to Play With You.,It's not just a game.
Thunderpants,Saving the world... One blast at a time!,The story of a boy who can break the wind.
Puppet Master vs Demonic Toys,Playtime is over. Now the REAL fun begins.,It's time for a new toy line.
Saw,Live or die. Make your choice.,It's a game of life or death.
Hercules in the Haunted World,An All New Height in Fright and Might!,The greatest adventure of all time!
Rose Red,Some houses are born bad.,It's not just a house.
A Nightmare on Elm Street,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",It's not a dream.
The Heavenly Body,There's something new under the moon!,"It's not a dream, it's a nightmare."
Adventures of Captain Marvel,THE MOST POWERFUL MAN IN CARTOONLAND BECOMES THE STRONGEST MAN ON THE SCREEN! All others pale in the light of this human fortress who finds no barrier too great in his amazing fight for justice,He's the only one who can save the world from destruction.
The Crimson Wing: Mystery of the Flamingos,"One lake, a million birds, an incredible story!",There is no such thing as a dead end.
D.A.R.Y.L.,"He can fly a jet, race a car and outsmart a computer. The government created him and now they want him destroyed.",It's not just a robot.
A Cock and Bull Story,Because everyone loves an accurate period piece.,A comedy about life and love.
Bounty Hunters,The hunt begins,Revenge is the only weapon they have.
Call Me,Her fantasies could be fatal.,It's not what you think it is.
Macon County Line,They're on the bad side of the wrong man.,The story of a man who risked his life to save a woman's life.
"Yours, Mine & Ours","18 kids, one house, no way.",Love at first sight
Diving Into the Unknown,We just wanted to bring our friends home.,You can't escape.
War on Everyone,They have the right to remain violent.,Two cops.
Paris Blues,"A love-spectacular so personally exciting, you feel it's happening to you!","A comedy about love, love, and love."
La Vérité si je Mens ! 3,"Truth, we missed you!",Don't go in the water.
French Women,A film by women for women ... and men who appreciate,The story of 11 girls who live in Paris.
The Lawless Frontier,Pounding Hoofs and Blazing Guns!,You can't run from the law.
The Legend of Ben Hall,Legends never die,They're back.
My Queen Karo,A young girl witnesses the moral dilemmas of free love when her parents join a squatter community in 1970s Amsterdam.,Every family has its ups and downs.
Ghosthouse,We dare you to go inside...,It's not just a house.
Child's Play 2,Look out Jack! Chucky's back!,He's back for more!
Urban Legends: Final Cut,Legends Never Die.,It's not what you think.
Lord of the Flies,"Evil is inherent in the human mind, whatever innocence may cloak it...",It's not what you think it is.
Let Us Prey,Darkness Shall Rise,A cop with a heart of gold.
The Firm,Power can be murder to resist.,It's not a game.
Die Beautiful,A Glamorous Life Deserves a Fabulous Death,Every dream has a price.
Letters from the Big Man,It wasn’t just big hair that caught her attention… it was his big heart.,The story of Sarah Smith.
The Silent Scream,Terror so sudden there is no time to scream.,The truth is stranger than fiction.
Species: The Awakening,Irresistible beauty. Unstoppable instincts.,She's a killer.
The Unfaithful,It's so easy to cry 'SHAME'!,She's a killer.
Three Faces West,What barrier mars the path of their destiny...the fulfillment of their right to happiness?,The story of a woman who risked everything to save her family.
The Incredible Petrified World,See women trapped in fantastic caverns at the center of Earth!,They're trapped in an underwater world.
Ambush,M-G-M's Great Drama of the Adventurous West!,The story of a man and a woman.
The Ex,"Credit-grabbing, back-stabbing, wife-nabbing. Just another day at the office.",It's not just a job.
Pervert!,He's Coming To Get You!,It's not just about sex.
Stealing Home,"Stealing hearts, stealing laughs, stealing memories",He was a kid who loved baseball.
The Hottest State,What happens when your first love is love itself?,"A comedy about love, sex, and love at the same time."
Blood Freak,A Dracula On Drugs!,It's not just a movie.
Red Hill,Revenge just rode into town,You can't escape your past.
My Zinc Bed,Attraction. Temptation. Addiction.,Sometimes the only way out is to get out of jail.
Robin Hood: Men in Tights,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?",The greatest adventure of all time!
Encounter at Raven's Gate,stranger...deadly companion,It's all about to get weird.
Chappie,I am consciousness. I am alive. I am Chappie.,He's got a heart of gold.
My Name Is Nobody,"Nobody, but ""Nobody,"" knows the trouble he's in!",It's not just about guns.
Diabolique,"See it, be amazed at it, but... BE QUIET ABOUT IT!",It's not murder.
Push,One push can change everything.,You can't escape your past.
Backflash,There's Nothing Real In This... But The Money.,She's back.
Count Three and Pray,Luke Fargo was through with sin... but sin wasn't through with Luke Fargo!,He's a preacher.
Lost & Found,A comedy about a guy who would do anything to get the girl of his dreams - and did!,The story of a boy who finds his true love in the most unlikely place on earth.
Agnivarsha: The Fire and the Rain,An Epic Tale of Love & Scrifice,The story of a man and a woman in love.
The Pit and the Pendulum,Edgar Allan Poe's riveting tale of horror grips the screen again!,How far would you go to change your mind?
Alphabet City,"At 19, they gave him the streets. Tonight, they're going to take them back.",Get out.
Go Figure,"She shoots, She scores, She acessorizes...",She wants to be a hero.
Anastasia,From the sensational Broadway stage success that had audiences crying its acclaim!,Love is the most powerful weapon in the hands of a woman.
Mourning Becomes Electra,...Mother and daughter in love with the same man ... rivals in ruthlessness even to murder!,"A story of love, betrayal and revenge."
Show Boat,HEAR Glorious New Music and Songs by Jerome Kern and Oscar Hammerstein II:,She's the star of the showboat!
Lewis Black: Stark Raving Black,A evening of elegance sophistication and class,The funniest comedy of the year.
Toys in the Attic,Toys in the Attic Plays With Fire!,A comedy about love and money.
Homeward Bound II: Lost in San Francisco,Your favorite talking animals are back!,They're back!
Out of Sight,Opposites attract.,It's not just a movie.
The Borderlands,Evil has a new form.,There's more to the world than meets the eye.
A Summer Story,"For every man and every woman there is that one great love. A love that touches the heart, fires the soul, and lingers in the memory forever.","A story of love, loss, and redemption."
7 Days in Hell,The epic battle for epicness,The rivalry between the two best tennis players in the world.
White House Down,It will start like any other day.,The Secret Service is back!
The Woman on Pier 13,Her beauty served a mob of terror whose one mission is to destroy!,The Cold War is over.
I Was Monty's Double,The Gigantic Hoax of World War II,The story of the man who impersonated General Montgomery.
Freddy vs. Jason,Evil Will Battle Evil,Evil has a new home.
Sweet Sweetback's Baadasssss Song,The Film that THE MAN doesn't want you to see!,A black woman saved a black man from a racist cop.
Home Sweet Hell,Psycho Wife. Unhappy Life.,It's not just a movie.
Harry and Walter Go To New York,All the Digby-Hill-Chestnut gang need is two breaks... out of jail... into a safe.,It's not a bank robbery.
"Spring, Summer, Fall, Winter... and Spring","Spring, Summer, Autumn, Winter... and Spring",Life is a journey.
Big Bad Wolves,Some Men Are Created Evil,Three men.
The Fatal Encounter,Who Dares Kill The King,The true story of the true king of kings
Witchfinder General,"He'll hang, burn, and mutilate you. He's the witchfinder general!",A comedy about the power of fear.
The Spoilers,Crashing Fists in the Gold-Crazed Alaska of '98!,The story of a man who risked everything to win the love of his life.
Romero,"In defense of the poor in El Salvador, he fought with the only weapon he had... the truth.",The story of the man who changed the face of the world.
"Goodbye, Mr. Chips",At The Top Of The Year's,The story of a lifetime.
Canadian Bacon,"I'll tell ya another thing, their beer sucks!",The story of a man who made America great again.
The Hucksters,Gable's New Star is Deborah Kerr (rhymes with star),The story of a man who lost everything.
Exam,How far would you go to win the ultimate job?,The test is over.
Seventy-Two Days,"Srećo, laku noć",It's a family business.
Young Bess,A Great and Spectacular Drama!,The true story of a woman who rose to the top of the English throne.
Psycho II,"It's 22 years later, and Norman Bates is finally coming home.",She's back.
Excalibur,Forged by a god. Foretold by a wizard. Found by a king.,The legend of the sword is back!
Stranded,Revenge comes at a price.,Revenge is a dangerous game.
Wall Street,Every dream has a price.,It's not a game.
No Small Affair,He's 16. She's 22. All he wanted was her picture. What he got was... no small affair.,It's not just a picture.
An Innocent Affair,They're burning the Scandal at both ends...,How far would you go to win the love of your life?
"Nikki, Wild Dog of the North","An unsurpassed wilderness adventure of three strange friends...a rugged man, a huge bear, and NIKKI - fighting king of a majestic breed!",The story of a family.
The Marathon,You never walk alone,The marathon is about to be shut down.
Cocktail,Sometimes good friends may be too good to share...,"A comedy about love, sex and romance."
Now You See Me,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,It's not a game.
American Virgin,There is a first time for everything!,You're not going to be alone.
Thinner,Let the curse fit the crime.,The Lawyer is Back
Angel's Dance,Don't mess with an angel and expect to be saved.,It's not murder.
The Secret of Kells,Turn the darkness into light,The adventure begins here.
Robotech: The Movie,Mark held the key to Robotech. Unlocking its powers could save the world!,The story of the first Robotech movie
Yosemite,Growing up is an adventure,The story of three friends.
Destination Gobi,ADVENTURE AS FIERY AND FURIOUS AS THE FLAMING SANDS OF CHINA'S GOBI DESERT!,They're Back!
3 Ninjas,Crosses Teenage Mutant Ninja Turtles and Home Alone!,Three brothers.
Three… Extremes,From the Nightmares of 3 Horror Masters,Sometimes you have to play by the rules.
Bedtime Stories,Whatever they dream up... he has to survive.,Sometimes you just have to believe in yourself.
Face of Terror,Nothing's more deadly than a man with nothing to lose.,The truth is stranger than fiction.
What Have They Done to Your Daughters?,Just another suicide until the police discovered... A bloody bathroom. A maniac with a cleaver. A schoolgirl sex ring.,It's not just a crime.
Masked and Anonymous,Would you reach out your hand to save a drowning man if you thought he might pull you in?,It's about to get crazy.
Freedom Writers,Their story. Their world. Their future.,It's not about grades.
Ghost Team One,Arouse the Dead,It's not just a house.
Short Circuit 2,The adventures of America's most electric leading man continue.,It's not just a robot.
Creed,Your legacy is more than a name,The greatest fighter of all time is back!
Dawn Rider,Justice is a quick draw.,The story of a man who risked everything to save his son's life.
The Bees,They prey on HUMAN FLESH!,They're coming for you.
"Goke, Body Snatcher from Hell",A fiendish vampire from a strange world in outer space drains his victims' blood and turns them into weird corpses!,They're coming for you.
Transamerica,Life is a Journey. Bring an Open Mind.,It's not what you think it is.
Django Unchained,"Life, liberty and the pursuit of vengeance.",The true story of a man who risked everything to save his wife.
Les Biches,A Story of Unusual Love!,It's not what you think.
Mean Creek,"Beneath the surface, everyone has a secret.",It's not just a prank.
Salon Kitty,Depraved. Decadent. Damned.,It's not what you think it is.
"Frank McKlusky, C.I.",Accidents Will Happen,It's not just a stunt.
Vegas Vacation,This time the Griswolds are on a roll.,Vegas is the place to be.
The Condemned,"10 Will Fight, 9 Will Die. You Get To Watch.",He's the only one who can save the world.
The Hunters,"For centuries, a secret organization has protected the world's treasures... Meet the next generation.",The Hunt Begins.
The Incredible Jessica James,"Likes are easy, love is hard.",A comedy about love and loss.
The Battalion,First. Female. Immortal.,Women's Battalions of Death
The Shamer's Daughter,Truth is the sharpest weapon,The story of the Shamer.
Demolition Man,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.,The only thing worse than death is death itself.
Caddyshack II,The shack is back!,The funniest movie you'll ever see!
The Lion King,Life's greatest adventure is finding your place in the Circle of Life.,He's the King of the Jungle!
Treasure of the Four Crowns,Share the ultimate modern adventure,They're back!
D.E.B.S.,Evil is so totally busted!,It's not a game.
Thunderheart,Two men from different worlds. Two cops after the same killer. Together they must uncover the secrets. Together they must discover the truth.,The story of a man who risked everything to find the truth.
The Vatican Tapes,"For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls.",It's not just a film.
Staten Island Summer,No Regrets,A comedy about life and death.
The Leech Woman,She drained men of their loves and lives!,It's not just a drug.
Live!,You Only Get One Shot...Take It,It's not a game.
The Corruptor,You can't play by the rules if there aren't any.,A cop with a heart of gold.
Antwone Fisher,Antwone Fisher is at war... with himself.,The story of a man who became a sailor.
Conception,It takes more than sex to make a baby,"A comedy about love, sex, and pregnancy."
The Life and Death of Peter Sellers,Never Judge a Man by his Cover,"A comedy about life, love, and comedy."
The Usual Suspects,Five Criminals. One Line Up. No Coincidence.,The legend of Keyser Kint is alive and well.
Expelled: No Intelligence Allowed,Big science has expelled smart new ideas from the classroom...What they forgot is that every generation has its Rebel!,Evolution is not a theory.
Religulous,Heaven help us.,Bill Maher is back!
Barnacle Bill,Wally and Margie are a riot!,The story of a man who risked everything to save his daughter's life.
The Boss,Watch your assets,She's back.
The Unholy Rollers,A locker room look at the toughest broads in the world!,It's not about winning.
The Dog Who Stopped the War,"War, peace, love and honor...in the world of children",A snowball war is about to break out.
Hell House,This church wants to scare the Hell out of you.,Welcome To The Hell House
No Stranger Than Love,Looking for love in all the wrong places,Love is the secret to happiness.
Monster High: Friday Night Frights,"The Monster High ghouls are back in a freaky, fabulous double feature that's simply to-die-for!",The Ultimate Roller Derby
Bon Cop Bad Cop 2,"It's okay America, we've got your back.",It's not just a crime.
Somm,How much do you know about wine?,It's not just a court exam.
Big Stan,He'll have to kick some butt to save his own.,The funniest movie you'll ever see!
One Dark Night,A night to remember - until the day until you die!,Death is the only way out.
None But the Lonely Heart,"""Black as the Ace I am!""",It's not about the money.
West Of Shanghai,He'll kill you on a moment's notice!,The true story of a man who risked everything to save his country.
Shark Attack 2,The killer is back,They're back!
Hogfather,This holiday expect the unexpected,There's only one way to find him.
GirlHouse,Enjoy the show.,It's not what you think.
Bed & Breakfast,Love Is A Happy Accident,A love story about a woman from a small department store
Exit Humanity,History has a violent way of repeating itself.,He's back.
Simon & the Oaks,Every family has a secret.,The story of two families
The Odd Couple,Even More Funny On The Screen... Than It Was As A Broadway And City-To-City Stage Smash!,A comedy about love and death.
Seven Years in Tibet,At the end of the world his real journey began.,The adventure of a lifetime.
Big Sky,A new level of fear.,He
Hitch,The cure for the common man.,It's not a game.
"No Deposit, No Return",A pair of jokers make double trouble in a hullaba-lulu of a caper,You can't escape your grandfather.
16 Wishes,"Everyone's sweet 16 is special, Abby's is magical.",Every wish has a price.
The Illustrated Man,Don't dare stare at the illustrated man.,The story of a man who was cursed with the skin illustrations.
Home,Worlds Collide,They're back.
Even Money,The Fix. The Gamble. The Betrayal. The Threat.,The story of three ordinary people.
Grave Encounters 2,Fear is just a word. Reality is much worse.,It's not just a movie.
The Guardian,How Do You Decide Who Lives Or Who Dies?,It's not just a swim.
Beloved,The past has a life of its own.,She's back in town!
Calling Dr. Death,SEE WHAT HAPPENS WHEN HIS MINDS,The truth is stranger than fiction.
Dollman,He's the toughest cop on the planet Arturus -- but on earth he's in over his head!,The adventure begins here.
Australia,Welcome to Australia!,The true story of a man who risked everything to protect his land and his family.
7 Minutes,It's a robbery.  A million things could go wrong.,It's not a game.
The Falcon and the Snowman,They came from the best of families. And they committed the worst of crimes.,The story of the man who became a walk in the park.
Project Almanac,Today is better the second time around,The future is about to change.
The Marrying Man,"Every man has a weakness. For millionaire Charley Pearl she's blonde, beautiful and loves to say ""I do"".",She's got a lot to live up to.
The Life Aquatic with Steve Zissou,"The deeper you go, the weirder life gets.",It's not just a movie.
The Last Supper,Love... Sex... Life... Death. In this house it's all on the table.,It's not what you believe.
MVP: Most Valuable Primate,Jack skates a little faster... Shoots a little harder... And is driving everyone bananas.,It's not just a game.
Airplane!,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",It's not just a plane.
Brannigan,Big Jim Brannigan takes on London - Chicago Style !,He's back.
Fat Man and Little Boy,The story of the extraordinary people who changed our world.,The Manhattan Project
The Numbers Station,The code has never been compromised. Until now.,No one is above the law.
Son of God,Their Empire. His Kingdom.,The Life Story of Jesus
"No Retreat, No Surrender 2: Raging Thunder","It's not a rematch, it's war!",The story of a man who risked everything to fight for his country.
The Roommate,What you don't know... can kill you.,You can't escape your past.
Journey to the Seventh Planet,What is this monstrous THING? With the power of mind over matter?... There beyond the stars your unspeakable fears...deepest desires...come alive...and you are trapped in a spectacle of terror- your secret fears pitted against you!,It's not just a dream.
Robert the Doll,He wants to be your best friend...forever.,It's not what you think.
The Loreley's Grasp,You'll Never Sleep Alone Again!,The legend of the Loreley is alive and well.
The Promotion,Two guys. One job. No rules.,They're the best at what they do.
Iron Man,Heroes aren't born. They're built.,Iron Man is back!
Vidal Sassoon: The Movie,How one man changed the world with a pair of scissors,The story of a man who changed the face of fashion forever.
Open House,Welcome to the neighborhood...,You can't escape your past.
Stone & Ed,Life Is Better When You're Stone & Ed.,They're Back!
Maid in Sweden,Inga at sixteen. Her coming of age.,A story of love and adventure.
Blueberry Hill,Follow your dreams and find your heart.,"A story of love, loss, and redemption."
Saint Joan,A Brilliant Triumph!,She was born to rule.
The Baby,What goes on in this nursery isn't for kids!,It's not what you think.
Louis C.K.: Live at the Beacon Theater,Buy The Thing,A comedy about life and death.
The Expendables,Choose Your Weapon.,It's not just a fight.
Sniper,One Shot. One Kill. No Exceptions.,A tough guy.
Prey,His savage hunger makes us all... Alien Prey,It's not just a dream.
Robinson Crusoe on Mars,One U.S. astronaut pitted against all the odds beyond this earth!,The adventure begins.
Valley of the Kings,AMAZING! TIMELY! THRILLING!,It's not just a tomb.
Food Stamped,Is it possible to eat healthy on a food stamp budget?,A documentary about food stamps.
Quarantine,Contain The Truth.,It's not just a virus.
A Man of No Importance,An extraordinary tale of an ordinary hero.,The story of a man who lived his life to the fullest.
Weird Woman,MURDER STRIKES WITH VELVET CLAWS!,She's the only one who can save the world.
Angel,"He's invisisible, she's blind, they love each other...","A story of love, loss and redemption."
Hell Drivers,Roaring Down the World's Deadliest Roads!,It's not about the money.
Slaves to the Underground,Love sex insanity. Thank God you're only young once.,"A comedy about love, sex, and rock 'n' roll."
Jack the Giant Killer,"Jack went up the beanstalk, and brought down Hell.",A Giant Beanstalk!
D.O.A.,"Someone poisoned Dexter Cornell. He's got to find out who. He's got to find out why. He's got to find out now. In 24 hours, he'll be Dead On Arrival.",Dexter is back.
Dumb and Dumber,"What the one doesn't have, the other is missing.",It's not just a suitcase.
Stir of Echoes,In every mind there is a door that should never be opened.,She's coming back to haunt you.
The Stand,The end of the world is just the beginning.,It's not what you think.
The Teasers,What They Do in Public Will Shock You...What They Do in Private Will Boggle Your Mind!,She's got a secret.
Daniel's World,Soon you will be able to test your tolerance,The story of a man and a woman.
Notorious,Notorious woman of affairs... Adventurous man of the world,The true story of a man who risked his life to save the world.
The Legend of Tarzan,Human. Nature.,He's back.
Orgazmo,Fighting crime never felt so good!,It's a fight for the soul.
The Dog,Love is a very strange thing,The story of a man who risked his life to save a woman's life.
Jane Eyre,The passionate tale of forbidden secrets!,The story of a girl who became a teacher...and became a man.
Pirates of the Caribbean: The Curse of the Black Pearl,Prepare to be blown out of the water.,The greatest adventure of all time!
Looking for Eric,"To win back the love of his life, Eric's going to need a little training.",A comedy about life and death.
Rapt,Paying his ransom won't bury his secrets.,The story of a man who became a killer.
Paws,Some heroes are all talk.,A Talking Terrier With Amazing Computer Skills Team Up With Two Kids To Stop A Million dollars from Falling Into The Wrong Hands.
Soul Music,"A story of reality, fantasy and the bits in the middle",The Musical with Rocks With Rocks In
Breakin',The beat of the streets is...,It's not about the money.
Cursed,What doesn't kill you makes you stronger.,It's not what you think.
Pixels,Game On.,It's not just a game.
Intern Academy,Are you hot enough to be admitted?,It's not what you think.
Carrie Fisher: Wishful Drinking,A show where one woman reconciles herself to being Carrie Fisher.,A comedy about life and love.
Jumping the Broom,Sometimes the only way to get past family drama... is to jump right over it.,A wedding that will change your life forever.
Flight of the Intruder,The only thing they can count on is each other.,One man's war.
Jack,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!,"When you're 10 years old, what do you do when you grow up?"
Universal Soldier: The Return,Prepare to become obsolete,The ultimate battle of the ages.
Madeline,"In an old house in Paris, that was covered with vines...",The story of a school girl and her friends.
Miracle in Harlem,There's Danger! Terror! Mystery! With a Killer on the Loose!,It's not a crime.
Jackboots on Whitehall,The smallest epic film you'll ever see!,The story of the greatest war of all time.
When the Cat's Away,No man. No job. No cat.,The cat is back.
Royal Flash,Ne'er-do-well Harry Flashman is coerced by Otto von Bismark into impersonating a prince.,It's time to get back in the game.
300: Rise of an Empire,Seize your glory!,The battle of the ages is about to begin.
Salsa,The Dirtiest Dancing Of Them All!,It's all about the dance.
Remote Control,Your future is in their hands.,It's not just a movie.
The Green Room,In the Green Room everyone can hear you scream. But no one will help.,A story of love and death
Experiment Perilous,Who's in danger from whom? Who's crazy? Who can fathom the obscure motivations?,He was a doctor.
Bartok the Magnificent,The lovable hero from Anastasia is back!,It's not just a movie.
The Cake Eaters,Love is the Frosting...,The story of a family that changed forever.
Who's Minding The Mint?,"With a cast of thousands - in hundreds, tens and singles!",The story of a man who risked everything to get what he wanted.
Bel Ami,Temptation. Seduction. Obsession.,"Paris, 1885."
The Admiral: Roaring Currents,12 ships against a fleet of 330.,The greatest battle of all time
Shanghai Knights,A Royal Kick In The Arse.,They're back for more!
TalhotBlond,Fantasy kills,Betrayal is the only way out.
Secretariat,The Impossible True Story,The story of a woman and her horse.
Curse of the Golden Flower,Unspeakable secrets are hidden within the Forbidden City.,The true story of the Tang dynasty.
13 Ghosts,IT'S FUN TO BE SCARED BY 13 GHOSTS,They're back!
Everybody Loves Somebody,"If her heart doesn't choose, her family will.",A love story that will change your life forever.
Saps at Sea,They'll Scuttle Your Blues To the Bottom of the Sea!,It's not about the horn.
Hollywood Hot Tubs,Why not work where everybody plays?,It's not about the money.
Mortal Thoughts,Murder is a secret that should never be shared.,It's not what you think it is.
Chrysalis,The rest are dead...,Survival is the only way out.
Alive,A life worse than death.,Death is the only option.
Nine Dead,It doesn't have to end this way,The story of nine strangers.
Yojimbo,Better if all these men were dead. Think about it!,The samurai is back.
A Nightmare on Elm Street 3: Dream Warriors,"If you think you're ready for Freddy, think again!",Freddy's Back!
The Bloody Judge,"Gehetzt wie Hunde, gejagt wie Wölfe, verbrannt wie Teufel. Im Namen des Rechts!",The King of England.
The Good Mother,"Can a court determine how we should live, how we should love, how we should raise our children? Now Anna must prove that she is the Good Mother.",It's not what you think it is.
Delicacy,"A new romantic comedy about Love, Fate, and other Delicacies",The story of a woman whose life was turned upside down.
Bitten,Relationships can be draining.,It's not about drugs.
Prime,A Therapeutic New Comedy,"A comedy about love, art, and life."
Chain Reaction,Reaction Time 8-4-96,It's not just a crime.
Mr. Fix It,A man who tricks women into returning to their ex-boyfriends soon finds himself falling for one of his marks.,"A comedy about love, sex, love, love."
Meet the Mormons,Six ordinary individuals. Six extraordinary stories.,The story of six people.
The Mountain Road,Flaming skies... blasted earth... the touch of love!,The story of a man who risked everything to save the lives of his comrades.
Talladega Nights: The Ballad of Ricky Bobby,The story of a man who could only count to #1,They're the best in the business.
The Last Match,Sun. Sex. Soccer... Survival,"A story of love, money, and loyalty."
Officers,There is such a profession - to defend their homeland,Two men.
The Deaths of Ian Stone,Live everyday like it's your last.,Every day is a new day.
Cold War,Asia's safest city is about to be tested.,The most dangerous cop in Hong Kong!
My Super Ex-Girlfriend,Hell hath no fury like a superwoman scorned.,She's got the power to change the world.
Vanessa,She starts where Emmanuelle left off,She was raised to be a nun.
The Wackiest Ship in the Army,You'll crack your timbers when you see how the Navy sticks the Army sad sacks with the crumbiest ship afloat!,The most dangerous ship in the world!
The Reincarnation of Peter Proud,Suppose you knew who you had been in your previous life. Where you had lived...whom you had loved and how you had died. What then?,Sometimes the only way out is to stay in the past.
Bran Nue Dae,Bran Nue Dae,"A story of love, adventure and adventure."
The Naked Gun 33⅓: The Final Insult,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!",The story of a man who risked everything to save his wife and children.
Flu Bird Horror,"If They Fly, You Die...",It's not just a virus.
Raising the Bar,Competition at its best!,It's never too late to get back on track.
The Day Will Come,"Some have power, others have bravery.",The story of two brothers.
Ghost in the Shell,It found a voice... Now it needs a body.,Cybernetics is Back
Obsessed,SHE said: They had an affair. They were in love. He was leaving his wife. HE said: It never happened. Who do you believe?,It's not what you think.
AE: Apocalypse Earth,The battle for mankind will not be on earth,Welcome to the Jungle
Underworld,'Nobody helps me -- I help them!',It's not about the money.
White Noise,The line separating the living from the dead has been crossed.,What if you could speak with your wife?
The Linguists,David and Greg will circle the planet to hear the last whispers of a dying language.,How far would you go to save a language?
Shut Up and Play the Hits,The Very Loud Ending Of LCD Soundsystem,Live Forever
Don't Think Twice,The spotlight's not for everyone.,The funniest comedy of the year!
Nomad: The Warrior,Courage know no limit,"The story of a nomad, a Mongol, and the coming of age of a Mongol."
The Similars,7 billion people in the world or just one?,The story of a group of people who are trapped inside the bus station in 1968.
Stranger in Our House,"Tonight, the world premiere of a chilling story of witchcraft, demons and the supernatural!",It's summer of terror.
The Wizard of Lies,Only those you trust can truly betray you.,The story of a man who made the biggest mistake of his life.
The Ladies Man,"""He's wacky!"" - ""He's Shweet!"" - ""He's the most!"" - ""He's the end!"" - ""He's dopey!"" - ""He's fast!"" - ""He's silly!"" -""He's the nuts!""",It's not just a house.
Short Time,Getting killed isn't as easy as it looks.,A cop with a gun.
Juarez,See It Now ! You'll Remember It Always !,The true story of the true hero of the revolution
The Patriot,Every second counts.,It's not just a virus.
Brake,The only way out is to give in,The Secret Service is back!
Island of Fire,When you're looking for the living dead you start your search in hell!,No one is safe.
Monsieur Verdoux,A Comedy of Murders,The story of a man who became a serial killer.
The Deep,Is anything worth the terror of ... The Deep.,The adventure begins here.
Destiny,Love is Stronger Than Death,You can't escape your past.
Vampire Hookers,Warm Blood Isn't All They Suck!,They're coming for you.
King Arthur,Rule Your Fate.,The legend of the Camelot legend
Mail Order Bride,"All you need for a hillbilly weddin' is a guy, a gal and a shotgun!","A story of love, courage, and love."
The Sting,...all it takes is a little confidence.,The story of a man who risked everything to save a woman he loved.
Haunted Castle,The spirit world is about to be rocked...,Johnny Smith is back!
Frontera,Truth is the only justice.,The story of a man who risked everything to save his wife.
Commando,Somewhere... somehow... someone's going to pay.,The Matrix is back.
Blue Ruin,Revenge comes home,It's not just a beach.
The Mask,Look through the mask...if you can't take it...take it off!,The most terrifying nightmare you will ever experience.
Bandidas,Being BAD never looked so GOOD!,The story of a man who risked everything to save a woman.
BFFs,Just beacause they love each other doesn't mean they have to like it.,It's not what you think it is.
The Brandon Teena Story,All Brandon wanted was to be one of the guys; unfortunately he was a girl.,The story of a man who changed his name to 'Brandon Teena'
Just My Luck,Everything changed in the wink of an eye.,She's got a lot of luck.
